"baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneID","DE"
3468.1891756686,-4.88138542597727,0.263933230448126,2.8125374076114e-77,1.20332850463872e-74,"gene:AT2G34430","Down Regulated"
1552.39337699772,-6.28756420766558,0.343448228444001,1.75071633429823e-75,7.32750904005301e-73,"gene:AT2G04040","Down Regulated"
2407.89295305103,-3.75410513377173,0.208925841399908,9.60022830137543e-74,3.9326211805613e-71,"gene:AT1G10170","Down Regulated"
996.330267628137,-8.74423808695268,0.487069847679053,2.6746448138405e-73,1.07281117918481e-70,"gene:AT3G25250","Down Regulated"
2740.422936652,-4.76817338840206,0.265344476573874,3.53457289213204e-73,1.38879861004527e-70,"gene:AT1G51760","Down Regulated"
701.588145455228,-5.43300220258283,0.301952368716812,4.64295015986039e-73,1.78781438855584e-70,"gene:AT4G38540","Down Regulated"
1113.610858278,-9.4427526729313,0.529310693645492,1.06567594835153e-72,4.02303118306118e-70,"gene:AT2G29460","Down Regulated"
2267.5578027895,-4.08778640232952,0.22948080194864,2.09967157268974e-72,7.77403399788377e-70,"gene:AT1G73080","Down Regulated"
1428.85639345277,-4.20822438313924,0.236806251175966,5.27531298475116e-72,1.9163320923663e-69,"gene:AT3G56400","Down Regulated"
5081.12902863313,-2.90481753413514,0.164580990173743,4.46072174098985e-71,1.59041251257921e-68,"gene:AT2G32240","Down Regulated"
1924.98093191775,-4.22734002949628,0.239563973261129,4.97431820916869e-71,1.74128269965681e-68,"gene:AT2G41110","Down Regulated"
692.081414477164,-7.4340799901914,0.421863701961738,2.49018153305833e-70,8.56133304570929e-68,"gene:AT3G55970","Down Regulated"
837.89283239538,-6.0486965065885,0.347031342545984,1.20502412979979e-68,4.07023325807638e-66,"gene:AT1G17380","Down Regulated"
788.940592103182,-7.74270229458737,0.449181459297577,1.71574443199335e-67,5.69538406020138e-65,"gene:AT1G02920","Down Regulated"
2239.56483094998,-3.6604461889926,0.213461688773299,1.77353563951367e-67,5.78743757077231e-65,"gene:AT3G28940","Down Regulated"
843.510129713465,-6.34309251250841,0.371965387880358,7.87385494178493e-66,2.52658881990309e-63,"gene:AT3G55950","Down Regulated"
1762.4277870216,-6.15932674063649,0.364018933354928,7.75168119164496e-65,2.44660849152034e-62,"gene:AT2G15480","Down Regulated"
2076.96362648186,-4.46444073130032,0.26595602402148,2.00191428862883e-64,6.21658964499531e-62,"gene:AT1G29920","Down Regulated"
1375.46645564611,-5.440055747273,0.322856916673344,2.18754942457415e-64,6.68522048751208e-62,"gene:AT4G22690","Down Regulated"
2216.18872259707,-4.55856230113148,0.271529925539785,2.24212471525859e-64,6.74494174107401e-62,"gene:AT1G33590","Down Regulated"
698.806083000547,-5.30598145838699,0.317442350722897,1.93216408854601e-63,5.72307003027329e-61,"gene:AT3G13100","Down Regulated"
857.224868330609,-4.70993762727955,0.284024123629961,8.80128532237953e-63,2.56744161078444e-60,"gene:AT1G74360","Down Regulated"
2564.11802418236,-4.247055059758,0.25684329133544,9.48200044383269e-63,2.7247306648524e-60,"gene:AT1G66880","Down Regulated"
755.100899953345,-8.08429734434865,0.491218150012875,7.19798318933263e-62,2.03798191682678e-59,"gene:AT2G15490","Down Regulated"
5266.21774642058,-4.19143219954621,0.25562909775206,8.71178060293759e-62,2.43083930359938e-59,"gene:AT3G53260","Down Regulated"
6030.4732688724,-3.28781157818826,0.202349310918791,7.20344617820141e-61,1.98125641812731e-58,"gene:AT1G09970","Down Regulated"
3964.53329957414,-4.43527589797215,0.273061902461735,1.5583293426428e-60,4.22570631463406e-58,"gene:AT1G78850","Down Regulated"
1089.89105204025,-4.91881907782743,0.302993227191221,3.64679014845441e-60,9.75161815669345e-58,"gene:AT5G61010","Down Regulated"
3776.34777517124,-3.2885920086126,0.204361644783408,9.08344466832798e-60,2.39566520820984e-57,"gene:AT3G09440","Down Regulated"
657.876605125786,-8.70234795368919,0.543849432911802,7.51125302185452e-59,1.95424533013196e-56,"gene:AT2G38790","Down Regulated"
1510.9627788424,-4.4998868662567,0.282367008320413,2.42435403916004e-58,6.22347844212642e-56,"gene:AT3G57530","Down Regulated"
841.049486273323,-4.88452423643799,0.306264203592069,3.48832940781486e-58,8.83694816956045e-56,"gene:AT1G17420","Down Regulated"
1234.8319733684,-4.96757463882193,0.31146855609666,3.86279974974151e-58,9.65850436126926e-56,"gene:AT1G55450","Down Regulated"
1241.51503595705,-7.38128218506115,0.463323197119305,5.87857053660427e-58,1.45102716078515e-55,"gene:AT3G16525","Down Regulated"
1122.95058708291,-5.37083739344608,0.337551243139965,1.03703949306829e-57,2.52735713418276e-55,"gene:AT2G26530","Down Regulated"
1903.74057751561,-3.49875443874067,0.224164708960207,1.78823720247715e-56,4.30361635741156e-54,"gene:AT2G04400","Down Regulated"
685.256656030396,-7.44267719631737,0.473826468585524,1.97495800196961e-56,4.69430449529888e-54,"gene:AT1G62300","Down Regulated"
702.897244527331,-6.74393949361029,0.429814905159786,3.6571009800166e-56,8.58660550832434e-54,"gene:AT3G22910","Down Regulated"
574.27382820853,-8.26735105160631,0.53315287132826,2.65635073376413e-55,6.16177357556155e-53,"gene:AT3G54150","Down Regulated"
738.779903453783,-9.10139773061614,0.589913477877053,4.44009066103764e-55,1.01767935115426e-52,"gene:AT4G08770","Down Regulated"
2961.95741570853,-3.39264138826022,0.220913022356866,9.23355257000592e-55,2.09145397212146e-52,"gene:AT5G42050","Down Regulated"
511.61330034162,-5.64176755542723,0.365330113427863,1.88813777157241e-54,4.22701354838182e-52,"gene:AT3G19970","Down Regulated"
582.023506769998,-7.07299272946504,0.46058812597382,5.74892074077784e-54,1.27222955197926e-51,"gene:AT4G35110","Down Regulated"
587.068296608193,-6.04820404046866,0.395005857238031,1.53718926585626e-53,3.36312556085576e-51,"gene:AT5G18470","Down Regulated"
19391.4787632863,-3.0466279624066,0.200741768438923,1.93595637129028e-53,4.18797393443279e-51,"gene:AT3G41762","Down Regulated"
567.942350977217,-7.65352051727763,0.501832469382663,2.09140117108899e-53,4.47397186077516e-51,"gene:AT5G05600","Down Regulated"
